claim_id,rank,language,file_path,section,claim_type,current_text,suggested_source,status,notes
G00088,1st-kyu,base,src/data/graduations/1st-kyu.json,history,history,Sensei Chojun Miyagi introduced the kongoken after observing professional wrestlers training with it in Hawaii,Compare with history sources and lineage-specific source material.,not reviewed,
G00089,1st-kyu,base,src/data/graduations/1st-kyu.json,history,history,"In 1915, Sensei Chojun Miyagi traveled to China first time for his research of martial arts",Compare with history sources and lineage-specific source material.,not reviewed,
G00090,1st-kyu,base,src/data/graduations/1st-kyu.json,history,history,"In 1934, Sensei Chojun Miyagi traveled to Hawaii to promote karate",Compare with history sources and lineage-specific source material.,not reviewed,
G00091,1st-kyu,nl,src/data/graduations/1st-kyu.nl.json,title,grading-title,DE WEG NAAR 1E KYU,Compare with official grading syllabus title for this rank.,not reviewed,
G00092,1st-kyu,nl,src/data/graduations/1st-kyu.nl.json,requirements.classes,grading-requirement,classes: 50,Compare with official grading regulations and syllabus.,not reviewed,
G00093,1st-kyu,nl,src/data/graduations/1st-kyu.nl.json,requirements.months,grading-requirement,months: 4,Compare with official grading regulations and syllabus.,not reviewed,
G00094,1st-kyu,nl,src/data/graduations/1st-kyu.nl.json,techniques.Kihon,grading-technique,Jodan haishu/haiwan age uke (Bovenste niveau achterhand opstekend blok),Compare with official grading syllabus and terminology glossary.,not reviewed,
G00095,1st-kyu,nl,src/data/graduations/1st-kyu.nl.json,techniques.Kihon,grading-technique,Chudan haishu/haiwan otoshi uke (Middelste niveau achterhand vallend blok),Compare with official grading syllabus and terminology glossary.,not reviewed,
G00096,1st-kyu,nl,src/data/graduations/1st-kyu.nl.json,techniques.Ido,grading-technique,Neko ashi dachi chudan haishu otoshi uke,Compare with official grading syllabus and terminology glossary.,not reviewed,
G00097,1st-kyu,nl,src/data/graduations/1st-kyu.nl.json,techniques.Ido,grading-technique,"Neko ashi dachi chudan hiki uke, mae ashi kin geri, zenkutsu dachi chudan gyaku zuki, neko ashi dachi chudan hiki uke",Compare with official grading syllabus and terminology glossary.,not reviewed,
G00098,1st-kyu,nl,src/data/graduations/1st-kyu.nl.json,techniques.Ido,grading-technique,"Neko ashi dachi chudan chudan, haishu otoshi uke, mae ashi kin geri, zenkutsu dachi chudan gyaku zuki, neko ashi dachi chudan haishu otoshi uke",Compare with official grading syllabus and terminology glossary.,not reviewed,
G00099,1st-kyu,nl,src/data/graduations/1st-kyu.nl.json,techniques.Kata,grading-technique,Shisochin (Goede kata),Compare with official grading syllabus and terminology glossary.,not reviewed,
G00100,1st-kyu,nl,src/data/graduations/1st-kyu.nl.json,techniques.Kumite,grading-technique,"Basis blok met partner – jodan haishu age uke, chudan haishu otoshi uke",Compare with official grading syllabus and terminology glossary.,not reviewed,
G00101,1st-kyu,nl,src/data/graduations/1st-kyu.nl.json,techniques.Kumite,grading-technique,Sandan gi – neko ashi dachi open hand blok,Compare with official grading syllabus and terminology glossary.,not reviewed,
G00102,1st-kyu,nl,src/data/graduations/1st-kyu.nl.json,techniques.Kumite,grading-technique,Niohn kumite (Twee aanvallen sparring),Compare with official grading syllabus and terminology glossary.,not reviewed,
G00103,1st-kyu,nl,src/data/graduations/1st-kyu.nl.json,techniques.Hojo Undo (Aanvullende Training),grading-technique,Kongo ken – borst & schouder duw,Compare with official grading syllabus and terminology glossary.,not reviewed,
G00104,1st-kyu,nl,src/data/graduations/1st-kyu.nl.json,techniques.Hojo Undo (Aanvullende Training),grading-technique,Kongo ken – vang & duw (Twee mannen),Compare with official grading syllabus and terminology glossary.,not reviewed,
G00105,1st-kyu,nl,src/data/graduations/1st-kyu.nl.json,techniques.Hojo Undo (Aanvullende Training),grading-technique,"Ishi sashi – Shisochin, nukite zuki",Compare with official grading syllabus and terminology glossary.,not reviewed,
G00106,1st-kyu,nl,src/data/graduations/1st-kyu.nl.json,techniques.Hojo Undo (Aanvullende Training),grading-technique,Ishi sashi – Shisochin shotei zuki,Compare with official grading syllabus and terminology glossary.,not reviewed,
G00107,1st-kyu,nl,src/data/graduations/1st-kyu.nl.json,techniques.Hojo Undo (Aanvullende Training),grading-technique,Ishi sashi – shiko dachi open en sluit,Compare with official grading syllabus and terminology glossary.,not reviewed,
G00108,1st-kyu,nl,src/data/graduations/1st-kyu.nl.json,techniques.Hojo Undo (Aanvullende Training),grading-technique,Ishi sashi – voorover gebogen open & sluit,Compare with official grading syllabus and terminology glossary.,not reviewed,
G00109,1st-kyu,nl,src/data/graduations/1st-kyu.nl.json,knowledge,terminology-knowledge,Uchi deshi = Inwonende Student,Compare with terminology glossary and Japanese/Okinawan source notes.,not reviewed,
G00110,1st-kyu,nl,src/data/graduations/1st-kyu.nl.json,knowledge,terminology-knowledge,Unsoku ho = Voetenwerk.,Compare with terminology glossary and Japanese/Okinawan source notes.,not reviewed,
G00111,1st-kyu,nl,src/data/graduations/1st-kyu.nl.json,knowledge,terminology-knowledge,Josokutei = Bal van de voet.,Compare with terminology glossary and Japanese/Okinawan source notes.,not reviewed,
G00112,1st-kyu,nl,src/data/graduations/1st-kyu.nl.json,knowledge,terminology-knowledge,Kakato = Hiel.,Compare with terminology glossary and Japanese/Okinawan source notes.,not reviewed,
G00113,1st-kyu,nl,src/data/graduations/1st-kyu.nl.json,knowledge,terminology-knowledge,Sokuto = Zijkant voet (meskant).,Compare with terminology glossary and Japanese/Okinawan source notes.,not reviewed,
G00114,1st-kyu,nl,src/data/graduations/1st-kyu.nl.json,knowledge,terminology-knowledge,Haisoku = Wreef.,Compare with terminology glossary and Japanese/Okinawan source notes.,not reviewed,
G00115,1st-kyu,nl,src/data/graduations/1st-kyu.nl.json,knowledge,terminology-knowledge,Tsumasaki = Tenen,Compare with terminology glossary and Japanese/Okinawan source notes.,not reviewed,
G00116,1st-kyu,nl,src/data/graduations/1st-kyu.nl.json,knowledge,terminology-knowledge,Kasokutei = Binnenzijde van de voet,Compare with terminology glossary and Japanese/Okinawan source notes.,not reviewed,
G00117,1st-kyu,nl,src/data/graduations/1st-kyu.nl.json,history,history,"Sensei Chojun Miyagi's kindernaam was ""Machu""",Compare with history sources and lineage-specific source material.,not reviewed,
G00118,1st-kyu,nl,src/data/graduations/1st-kyu.nl.json,history,history,Sensei Chojun Miyagi introduceerde de kongoken na het observeren van professionele worstelaars die ermee trainden in Hawaii,Compare with history sources and lineage-specific source material.,not reviewed,
G00119,1st-kyu,nl,src/data/graduations/1st-kyu.nl.json,history,history,In 1915 reisde Sensei Chojun Miyagi voor het eerst naar China voor zijn onderzoek naar martial arts,Compare with history sources and lineage-specific source material.,not reviewed,
G00120,1st-kyu,nl,src/data/graduations/1st-kyu.nl.json,history,history,In 1934 reisde Sensei Chojun Miyagi naar Hawaii om karate te promoten,Compare with history sources and lineage-specific source material.,not reviewed,
G00121,2nd-kyu,base,src/data/graduations/2nd-kyu.json,title,grading-title,THE WAY TO 2ND KYU,Compare with official grading syllabus title for this rank.,not reviewed,
G00122,2nd-kyu,base,src/data/graduations/2nd-kyu.json,requirements.classes,grading-requirement,classes: 45,Compare with official grading regulations and syllabus.,not reviewed,
G00123,2nd-kyu,base,src/data/graduations/2nd-kyu.json,requirements.months,grading-requirement,months: 4,Compare with official grading regulations and syllabus.,not reviewed,
G00124,2nd-kyu,base,src/data/graduations/2nd-kyu.json,techniques.Kihon,grading-technique,Kagi zuki (Hook punch),Compare with official grading syllabus and terminology glossary.,not reviewed,
G00125,2nd-kyu,base,src/data/graduations/2nd-kyu.json,techniques.Kihon,grading-technique,Kansetsu geri (Joint kick),Compare with official grading syllabus and terminology glossary.,not reviewed,
G00126,2nd-kyu,base,src/data/graduations/2nd-kyu.json,techniques.Kihon,grading-technique,Jodan ko uke (Upper level wrist block),Compare with official grading syllabus and terminology glossary.,not reviewed,
G00127,2nd-kyu,base,src/data/graduations/2nd-kyu.json,techniques.Ido,grading-technique,"Jodan oi zuki, jodan furi zuki",Compare with official grading syllabus and terminology glossary.,not reviewed,
G00128,2nd-kyu,base,src/data/graduations/2nd-kyu.json,techniques.Ido,grading-technique,"Jodan oi zuki, chudan gyaku zuki, jodan kaki zuki",Compare with official grading syllabus and terminology glossary.,not reviewed,
G00129,2nd-kyu,base,src/data/graduations/2nd-kyu.json,techniques.Ido,grading-technique,"Neko ashi dachi, kaishu sandan uke",Compare with official grading syllabus and terminology glossary.,not reviewed,
G00130,2nd-kyu,base,src/data/graduations/2nd-kyu.json,techniques.Kumite,grading-technique,Basic blocks with partner – jodan ko uke,Compare with official grading syllabus and terminology glossary.,not reviewed,
G00131,2nd-kyu,base,src/data/graduations/2nd-kyu.json,techniques.Kumite,grading-technique,Sandan gi – open hand blocks,Compare with official grading syllabus and terminology glossary.,not reviewed,
G00132,2nd-kyu,base,src/data/graduations/2nd-kyu.json,techniques.Kumite,grading-technique,Kakie – hiji tori (Shisochin),Compare with official grading syllabus and terminology glossary.,not reviewed,
G00133,2nd-kyu,base,src/data/graduations/2nd-kyu.json,techniques.Kumite,grading-technique,Kakie – jodan ude garami,Compare with official grading syllabus and terminology glossary.,not reviewed,
G00134,2nd-kyu,base,src/data/graduations/2nd-kyu.json,techniques.Kumite,grading-technique,Ippon kumite,Compare with official grading syllabus and terminology glossary.,not reviewed,
G00135,2nd-kyu,base,src/data/graduations/2nd-kyu.json,techniques.Kumite,grading-technique,"Chudan hiki uke, kansetsu geri",Compare with official grading syllabus and terminology glossary.,not reviewed,
G00136,2nd-kyu,base,src/data/graduations/2nd-kyu.json,techniques.Kumite,grading-technique,"Chudan yoko uke, jodan kagi zuki",Compare with official grading syllabus and terminology glossary.,not reviewed,
G00137,2nd-kyu,base,src/data/graduations/2nd-kyu.json,techniques.Kata,grading-technique,Shisochin (Sequence),Compare with official grading syllabus and terminology glossary.,not reviewed,
G00138,2nd-kyu,base,src/data/graduations/2nd-kyu.json,techniques.Kata,grading-technique,Sanchin (Good kata),Compare with official grading syllabus and terminology glossary.,not reviewed,
G00139,2nd-kyu,base,src/data/graduations/2nd-kyu.json,techniques.Bunkai,grading-technique,Seiyunchin (Last 6 bunkai),Compare with official grading syllabus and terminology glossary.,not reviewed,
G00140,2nd-kyu,base,src/data/graduations/2nd-kyu.json,techniques.Hojo Undo (Supplemental Training),grading-technique,"Makiwara – furi zuki, kagi zuki",Compare with official grading syllabus and terminology glossary.,not reviewed,
G00141,2nd-kyu,base,src/data/graduations/2nd-kyu.json,techniques.Hojo Undo (Supplemental Training),grading-technique,Kongo ken – twist,Compare with official grading syllabus and terminology glossary.,not reviewed,
G00142,2nd-kyu,base,src/data/graduations/2nd-kyu.json,techniques.Hojo Undo (Supplemental Training),grading-technique,Kongo ken – lift up,Compare with official grading syllabus and terminology glossary.,not reviewed,
G00143,2nd-kyu,base,src/data/graduations/2nd-kyu.json,techniques.Hojo Undo (Supplemental Training),grading-technique,Kongo ken – shiko dachi squat,Compare with official grading syllabus and terminology glossary.,not reviewed,
G00144,2nd-kyu,base,src/data/graduations/2nd-kyu.json,knowledge,terminology-knowledge,Kaishu gata,Compare with terminology glossary and Japanese/Okinawan source notes.,not reviewed,Meaning is empty; verify whether this is intentional.
