language,term_path,issue_type,base_name,localized_name,base_japanese,localized_japanese,base_english,localized_english,notes
es,terminology.sections.blocks-content.terms.hari-uke,japanese-mismatch,Hari Uke,Hari Uke,ハリ受け,弓受け,Hari block,Bloqueo arco y flecha,Japanese/romanized term should usually remain stable across languages.
es,terminology.sections.blocks-content.terms.jodan-age-uke,japanese-mismatch,Jodan Age Uke,Jodan Age Uke,上段上げ受け,上げ受け,High rising block,Bloqueo ascendente alto,Japanese/romanized term should usually remain stable across languages.
es,terminology.sections.blocks-content.terms.jodan-soto-uke,japanese-mismatch,Jodan Soto (Yoko) Uke,Jodan Soto (Yoko) Uke,上段外受け,外受け,High outside (side) block,Bloqueo externo alto,Japanese/romanized term should usually remain stable across languages.
es,terminology.sections.blocks-content.terms.jodan-uchi-uke,japanese-mismatch,Jodan Uchi (Yoko) Uke,Jodan Uchi (Yoko) Uke,上段内受け,内受け,High inside (side) block,Bloqueo interno alto,Japanese/romanized term should usually remain stable across languages.
es,terminology.sections.body-parts-content.terms.hiza,japanese-mismatch,Hiza,Hiza,Knee.,膝,,,Japanese/romanized term should usually remain stable across languages.
es,terminology.sections.common-content.terms.gi,japanese-mismatch,Dogi,Gi / Dogi,道着,着 / 道着,Training uniform.,Trainingsuniform,Japanese/romanized term should usually remain stable across languages.
es,terminology.sections.general-terms-content.terms.chikara-no-nujisashi,empty-localized-fields,Chikara No Nujisashi,Chikara No Nujisashi,,,Tension and relaxation,Spanning en ontspanning,Empty fields: japanese
es,terminology.sections.general-terms-content.terms.chinkuchi-kakin,empty-localized-fields,Chinkuchi Kakin (Kimae),Chinkuchi Kakin (Kimae),,,Directing force,Richten van kracht,Empty fields: japanese
es,terminology.sections.general-terms-content.terms.chiru-no-chan-chan,empty-localized-fields,Chiru No Chan Chan,Chiru No Chan Chan,,,Explosive force,Explosie-kracht,Empty fields: japanese
es,terminology.sections.general-terms-content.terms.gi,japanese-mismatch,Dogi,Gi / Dogi,道着,着 / 道着,Training uniform,Uniforme de entrenamiento,Japanese/romanized term should usually remain stable across languages.
es,terminology.sections.general-terms-content.terms.go-no-sen,japanese-mismatch,Go No Sen,Go No Sen,後の先,後の手,Taking initiative later,Initiatief later nemen,Japanese/romanized term should usually remain stable across languages.
es,terminology.sections.general-terms-content.terms.sen-no-sen,japanese-mismatch,Sen No Sen,Sen No Sen,先の先,先の手,Taking initiative,Initiatief nemen,Japanese/romanized term should usually remain stable across languages.
es,terminology.sections.general-terms-content.terms.shimejurasan,empty-localized-fields,Shimejurasan,Shimejurasan,,,Perfect execution,Perfecte uitvoering,Empty fields: japanese
es,terminology.sections.general-terms-content.terms.te-no-omoi,empty-localized-fields,Te No Omoi (Te No Omomi),Te No Omoi (Te No Omomi),,,Heavy hands,Zware handen,Empty fields: japanese
fr,terminology.sections.blocks-content.terms.chudan-soto-uke,japanese-mismatch,Chudan Soto (Yoko) Uke,Chudan Soto (Yoko) Uke,中段外受け,外受け,Middle outside (side) block,Blocage extérieur moyen,Japanese/romanized term should usually remain stable across languages.
fr,terminology.sections.blocks-content.terms.chudan-uchi-uke,japanese-mismatch,Chudan Uchi Uke,Chudan Uchi Uke,中段内受け,内受け,Middle inside block,Blocage intérieur moyen,Japanese/romanized term should usually remain stable across languages.
fr,terminology.sections.blocks-content.terms.hari-uke,japanese-mismatch,Hari Uke,Hari Uke,ハリ受け,弓受け,Hari block,Blocage arc et flèche,Japanese/romanized term should usually remain stable across languages.
fr,terminology.sections.blocks-content.terms.jodan-age-uke,japanese-mismatch,Jodan Age Uke,Jodan Age Uke,上段上げ受け,上げ受け,High rising block,Blocage montant haut,Japanese/romanized term should usually remain stable across languages.
fr,terminology.sections.blocks-content.terms.jodan-soto-uke,japanese-mismatch,Jodan Soto (Yoko) Uke,Jodan Soto (Yoko) Uke,上段外受け,外受け,High outside (side) block,Blocage extérieur haut,Japanese/romanized term should usually remain stable across languages.
fr,terminology.sections.blocks-content.terms.jodan-uchi-uke,japanese-mismatch,Jodan Uchi (Yoko) Uke,Jodan Uchi (Yoko) Uke,上段内受け,内受け,High inside (side) block,Blocage intérieur haut,Japanese/romanized term should usually remain stable across languages.
fr,terminology.sections.body-parts-content.terms.hiza,japanese-mismatch,Hiza,Hiza,Knee.,膝,,,Japanese/romanized term should usually remain stable across languages.
fr,terminology.sections.common-content.terms.gi,japanese-mismatch,Dogi,Gi / Dogi,道着,着 / 道着,Training uniform.,Trainingsuniform,Japanese/romanized term should usually remain stable across languages.
fr,terminology.sections.general-terms-content.terms.chikara-no-nujisashi,empty-localized-fields,Chikara No Nujisashi,Chikara No Nujisashi,,,Tension and relaxation,Dosage de la puissance.,Empty fields: japanese
fr,terminology.sections.general-terms-content.terms.chinkuchi-kakin,empty-localized-fields,Chinkuchi Kakin (Kimae),Chinkuchi Kakin,,,Directing force,Focus et tension musculaire.,Empty fields: japanese
fr,terminology.sections.general-terms-content.terms.chiru-no-chan-chan,empty-localized-fields,Chiru No Chan Chan,Chiru No Chan Chan,,,Explosive force,Vitesse et résilience.,Empty fields: japanese
fr,terminology.sections.general-terms-content.terms.gi,japanese-mismatch,Dogi,Gi / Dogi,道着,着 / 道着,Training uniform,Uniforme d'entraînement,Japanese/romanized term should usually remain stable across languages.
fr,terminology.sections.general-terms-content.terms.go-no-sen,japanese-mismatch,Go No Sen,Go No Sen,後の先,後の手,Taking initiative later,Initiative tardive.,Japanese/romanized term should usually remain stable across languages.
fr,terminology.sections.general-terms-content.terms.sen-no-sen,japanese-mismatch,Sen No Sen,Sen No Sen,先の先,先の手,Taking initiative,Prendre l'initiative.,Japanese/romanized term should usually remain stable across languages.
fr,terminology.sections.general-terms-content.terms.shimejurasan,empty-localized-fields,Shimejurasan,Shimejurasan,,,Perfect execution,Qualité de l'exécution.,Empty fields: japanese
fr,terminology.sections.general-terms-content.terms.te-no-omoi,empty-localized-fields,Te No Omoi (Te No Omomi),Te No Omoi,,,Heavy hands,Mains lourdes (masse).,Empty fields: japanese
it,terminology.sections.body-parts-content.terms.hiza,empty-localized-fields,Hiza,Hiza,Knee.,Knee.,,,Empty fields: english
it,terminology.sections.general-terms-content.terms.chikara-no-nujisashi,empty-localized-fields,Chikara No Nujisashi,Chikara No Nujisashi,,,Tension and relaxation,Tension and relaxation,Empty fields: japanese
it,terminology.sections.general-terms-content.terms.chinkuchi-kakin,empty-localized-fields,Chinkuchi Kakin (Kimae),Chinkuchi Kakin (Kimae),,,Directing force,Directing force,Empty fields: japanese
it,terminology.sections.general-terms-content.terms.chiru-no-chan-chan,empty-localized-fields,Chiru No Chan Chan,Chiru No Chan Chan,,,Explosive force,Explosive force,Empty fields: japanese
it,terminology.sections.general-terms-content.terms.muchimi,empty-localized-fields,Muchimi,Muchimi,,,"Okinawan concept for slow, flowing, heavy, sticky movement.","Okinawan concept for slow, flowing, heavy, sticky movement.",Empty fields: japanese
it,terminology.sections.general-terms-content.terms.shimejurasan,empty-localized-fields,Shimejurasan,Shimejurasan,,,Perfect execution,Perfect execution,Empty fields: japanese
it,terminology.sections.general-terms-content.terms.te-no-omoi,empty-localized-fields,Te No Omoi (Te No Omomi),Te No Omoi (Te No Omomi),,,Heavy hands,Heavy hands,Empty fields: japanese
nl,terminology.sections.anatomical-weapons-content.terms.haza,japanese-mismatch,Hiza,Hiza,膝,?,Knee.,Knie.,Japanese/romanized term should usually remain stable across languages.
nl,terminology.sections.body-parts-content.terms.hiza,japanese-mismatch,Hiza,Hiza,Knee.,膝,,,Japanese/romanized term should usually remain stable across languages.
nl,terminology.sections.general-terms-content.terms.chikara-no-nujisashi,empty-localized-fields,Chikara No Nujisashi,Chikara No Nujisashi,,,Tension and relaxation,Afwisseling tussen spanning en ontspanning.,Empty fields: japanese
nl,terminology.sections.general-terms-content.terms.chinkuchi-kakin,empty-localized-fields,Chinkuchi Kakin (Kimae),Chinkuchi Kakin (Kimae),,,Directing force,Richten van kracht; korte gerichte aanspanning op moment van raken.,Empty fields: japanese
nl,terminology.sections.general-terms-content.terms.chiru-no-chan-chan,empty-localized-fields,Chiru No Chan Chan,Chiru No Chan Chan,,,Explosive force,Explosiekracht / startkracht.,Empty fields: japanese
nl,terminology.sections.general-terms-content.terms.muchimi,empty-localized-fields,Muchimi,Muchimi,,,"Okinawan concept for slow, flowing, heavy, sticky movement.","Okinawaans concept voor trage, vloeiende, zware, klevende beweging.",Empty fields: japanese
nl,terminology.sections.general-terms-content.terms.shimejurasan,empty-localized-fields,Shimejurasan,Shimejurasan,,,Perfect execution,De perfecte uitvoering van de kata.,Empty fields: japanese
nl,terminology.sections.general-terms-content.terms.te-no-omoi,empty-localized-fields,Te No Omoi (Te No Omomi),Te No Omoi,,,Heavy hands,Zware handen (impact door gewicht en versnelling).,Empty fields: japanese
nl,terminology.sections.phrases-etiquette-content.terms.gorei-nashi,japanese-mismatch,Gorei nashi,Gorei nashi,合礼なし,号令なし,Without count,Zonder tellen (op eigen tempo).,Japanese/romanized term should usually remain stable across languages.
nl,terminology.sections.phrases-etiquette-content.terms.tatte,japanese-mismatch,Tatte or Ki Ritsu,Tatte / Kiritsu,立って,立って / 起立,Stand up,Sta op.,Japanese/romanized term should usually remain stable across languages.
nl,terminology.sections.stances-content.terms.kiba-dachi,japanese-mismatch,Kiba Dachi,Kiba Dachi,騎馬立,???,Horse stance,Paardrijstand,Japanese/romanized term should usually remain stable across languages.
nl,terminology.sections.stances-content.terms.kokotsu-dachi-alt,japanese-mismatch,Kokotsu Dachi,Kokotsu Dachi,後屈立,???,Back stance (alt).,Achterwaartse stand (variant).,Japanese/romanized term should usually remain stable across languages.
nl,terminology.sections.stances-content.terms.kokutsu-dachi,japanese-mismatch,Kokutsu Dachi,Kokutsu Dachi,後屈立,???,Back stance,Achterwaartse stand,Japanese/romanized term should usually remain stable across languages.
nl,terminology.sections.stances-content.terms.kosa-dachi,japanese-mismatch,Kosa Dachi,Kosa Dachi,交差立,???,Cross stance,Gekruiste stand,Japanese/romanized term should usually remain stable across languages.
nl,terminology.sections.stances-content.terms.tsuru-ashi-dachi,japanese-mismatch,Tsuru Ashi Dachi,Tsuru Ashi Dachi,鶴足立,???,Crane stance,Kraanvogelstand,Japanese/romanized term should usually remain stable across languages.
pt,terminology.sections.blocks-content.terms.chudan-soto-uke,japanese-mismatch,Chudan Soto (Yoko) Uke,Chudan Soto (Yoko) Uke,中段外受け,外受け,Middle outside (side) block,Bloqueio externo médio,Japanese/romanized term should usually remain stable across languages.
pt,terminology.sections.blocks-content.terms.chudan-uchi-uke,japanese-mismatch,Chudan Uchi Uke,Chudan Uchi Uke,中段内受け,内受け,Middle inside block,Bloqueio interno médio,Japanese/romanized term should usually remain stable across languages.
pt,terminology.sections.blocks-content.terms.hari-uke,japanese-mismatch,Hari Uke,Hari Uke,ハリ受け,弓受け,Hari block,Bloqueio arco e flecha,Japanese/romanized term should usually remain stable across languages.
pt,terminology.sections.blocks-content.terms.jodan-age-uke,japanese-mismatch,Jodan Age Uke,Jodan Age Uke,上段上げ受け,上げ受け,High rising block,Bloqueio ascendente alto,Japanese/romanized term should usually remain stable across languages.
pt,terminology.sections.blocks-content.terms.jodan-soto-uke,japanese-mismatch,Jodan Soto (Yoko) Uke,Jodan Soto (Yoko) Uke,上段外受け,外受け,High outside (side) block,Bloqueio externo alto,Japanese/romanized term should usually remain stable across languages.
pt,terminology.sections.blocks-content.terms.jodan-uchi-uke,japanese-mismatch,Jodan Uchi (Yoko) Uke,Jodan Uchi (Yoko) Uke,上段内受け,内受け,High inside (side) block,Bloqueio interno alto,Japanese/romanized term should usually remain stable across languages.
pt,terminology.sections.body-parts-content.terms.hiza,japanese-mismatch,Hiza,Hiza,Knee.,膝,,,Japanese/romanized term should usually remain stable across languages.
pt,terminology.sections.common-content.terms.gi,japanese-mismatch,Dogi,Gi / Dogi,道着,着 / 道着,Training uniform.,Training uniform,Japanese/romanized term should usually remain stable across languages.
pt,terminology.sections.general-terms-content.terms.chikara-no-nujisashi,empty-localized-fields,Chikara No Nujisashi,Chikara No Nujisashi,,,Tension and relaxation,Spanning en ontspanning,Empty fields: japanese
pt,terminology.sections.general-terms-content.terms.chinkuchi-kakin,empty-localized-fields,Chinkuchi Kakin (Kimae),Chinkuchi Kakin (Kimae),,,Directing force,Richten van kracht,Empty fields: japanese
pt,terminology.sections.general-terms-content.terms.chiru-no-chan-chan,empty-localized-fields,Chiru No Chan Chan,Chiru No Chan Chan,,,Explosive force,Explosie-kracht,Empty fields: japanese
pt,terminology.sections.general-terms-content.terms.gi,japanese-mismatch,Dogi,Gi / Dogi,道着,着 / 道着,Training uniform,Uniforme de treinamento,Japanese/romanized term should usually remain stable across languages.
pt,terminology.sections.general-terms-content.terms.go-no-sen,japanese-mismatch,Go No Sen,Go No Sen,後の先,後の手,Taking initiative later,Initiatief later nemen,Japanese/romanized term should usually remain stable across languages.
pt,terminology.sections.general-terms-content.terms.sen-no-sen,japanese-mismatch,Sen No Sen,Sen No Sen,先の先,先の手,Taking initiative,Initiatief nemen,Japanese/romanized term should usually remain stable across languages.
pt,terminology.sections.general-terms-content.terms.shimejurasan,empty-localized-fields,Shimejurasan,Shimejurasan,,,Perfect execution,Perfecte uitvoering,Empty fields: japanese
pt,terminology.sections.general-terms-content.terms.te-no-omoi,empty-localized-fields,Te No Omoi (Te No Omomi),Te No Omoi (Te No Omomi),,,Heavy hands,Zware handen,Empty fields: japanese
